offset_from_cap_plane_nm,lower_centerline_energy_kJ_mol,lower_centerline_energy_kBT,upper_centerline_energy_kJ_mol,upper_centerline_energy_kBT
-0.16599999999999998,0.00012287916002234515,4.926321987186481e-05,0.00012287916002234526,4.926321987186485e-05
-0.16399999999999998,0.00012439750311467562,4.9871935536789615e-05,0.00012439750311467627,4.987193553678987e-05
-0.16199999999999998,0.0001259193154019817,5.048204202921382e-05,0.00012591931540198158,5.0482042029213764e-05
-0.15999999999999998,0.00012744415436556294,5.109336193991656e-05,0.00012744415436556321,5.109336193991667e-05
-0.15799999999999997,0.00012897156748418683,5.1705713849583395e-05,0.00012897156748418776,5.170571384958377e-05
-0.15599999999999997,0.0001305010923728456,5.231891238443491e-05,0.0001305010923728456,5.231891238443491e-05
-0.15399999999999997,0.00013203225693493982,5.2932768277238364e-05,0.00013203225693494036,5.293276827723858e-05
-0.15199999999999997,0.00013356457952802664,5.3547088433757456e-05,0.00013356457952802764,5.3547088433757856e-05
-0.14999999999999997,0.00013509756914324998,5.4161676004687305e-05,0.00013509756914325015,5.4161676004687366e-05
-0.14799999999999996,0.0001366307255985502,5.4776330463113686e-05,0.00013663072559855078,5.477633046311392e-05
-0.14599999999999996,0.00013816353974573087,5.539084768752777e-05,0.00013816353974573073,5.539084768752772e-05
-0.14399999999999996,0.0001396954936914418,5.600502005041994e-05,0.00013969549369144212,5.600502005042007e-05
-0.14199999999999996,0.00014122606103210994,5.661863651246541e-05,0.00014122606103211084,5.661863651246577e-05
-0.13999999999999996,0.0001427547071028354,5.7231482722308606e-05,0.0001427547071028354,5.7231482722308606e-05
-0.13799999999999996,0.0001442808892402386,5.784334112194069e-05,0.00014428088924023922,5.784334112194094e-05
-0.13599999999999995,0.00014580405705922857,5.845399105765808e-05,0.00014580405705922966,5.845399105765852e-05
-0.13399999999999995,0.00014732365274363268,5.9063208896578224e-05,0.00014732365274363284,5.906320889657829e-05
-0.13199999999999995,0.00014883911135060577,5.9670768148679636e-05,0.0001488391113506064,5.967076814867989e-05
-0.12999999999999995,0.00015034986112871308,6.0276439594323775e-05,0.0001503498611287129,6.027643959432371e-05
-0.12799999999999995,0.000151855323849551,6.087999141720446e-05,0.00015185532384955132,6.0879991417204596e-05
-0.12599999999999995,0.00015335491515274964,6.14811893426621e-05,0.00015335491515275053,6.148118934266246e-05
-0.12399999999999994,0.00015484804490417109,6.207979678128816e-05,0.00015484804490417109,6.207979678128816e-05
-0.12199999999999994,0.00015633411756709012,6.267557497773446e-05,0.00015633411756709064,6.267557497773466e-05
-0.12,0.00015781253258612176,6.32682831646327e-05,0.00015781253258612298,6.326828316463318e-05
-0.118,0.00015928268478362904,6.385767872151749e-05,0.00015928268478362906,6.38576787215175e-05
-0.11599999999999999,0.00016074396476831466,6.444351733863395e-05,0.00016074396476831553,6.44435173386343e-05
-0.11399999999999999,0.00016219575935568737,6.502555318550594e-05,0.00016219575935568718,6.502555318550587e-05
-0.11199999999999999,0.00016363745200004178,6.560353908412021e-05,0.00016363745200004233,6.560353908412043e-05
-0.10999999999999999,0.0001650684232375935,6.617722668658271e-05,0.00016506842323759424,6.617722668658301e-05
-0.10799999999999998,0.00016648805114035577,6.674636665708133e-05,0.00016648805114035596,6.67463666570814e-05
-0.10599999999999998,0.00016789571178034218,6.731070885798838e-05,0.00016789571178034272,6.73107088579886e-05
-0.10399999999999998,0.00016929077970363223,6.787000253991724e-05,0.00016929077970363336,6.78700025399177e-05
-0.10199999999999998,0.00017067262841383024,6.84239965355448e-05,0.00017067262841383038,6.842399653554486e-05
-0.09999999999999998,0.00017204063086440473,6.897243945699418e-05,0.0001720406308644055,6.897243945699449e-05
-0.09799999999999998,0.00017339415995938688,6.951507989656869e-05,0.0001733941599593867,6.951507989656862e-05
-0.09599999999999997,0.0001747325890618663,7.005166663061177e-05,0.00017473258906186684,7.005166663061198e-05
-0.09399999999999997,0.0001760552925097164,7.058194882626531e-05,0.00017605529250971715,7.058194882626562e-05
-0.09199999999999997,0.00017736164613793917,7.110567625088186e-05,0.00017736164613793933,7.110567625088193e-05
-0.08999999999999997,0.00017865102780701667,7.162259948384477e-05,0.00017865102780701705,7.162259948384492e-05
-0.08799999999999997,0.00017992281793661785,7.213247013053553e-05,0.00017992281793661888,7.213247013053593e-05
-0.08599999999999997,0.0001811764000440047,7.263504103818499e-05,0.0001811764000440047,7.263504103818499e-05
