offset_from_cap_plane_nm,lower_centerline_energy_kJ_mol,lower_centerline_energy_kBT,upper_centerline_energy_kJ_mol,upper_centerline_energy_kBT
-0.282,5.054036385222251e-05,2.0262028617410206e-05,5.0540363852222806e-05,2.0262028617410328e-05
-0.27999999999999997,5.144485442902629e-05,2.0624645990030688e-05,5.144485442902649e-05,2.062464599003077e-05
-0.27799999999999997,5.236198186812734e-05,2.0992329579947313e-05,5.236198186812785e-05,2.099232957994752e-05
-0.27599999999999997,5.32917988311129e-05,2.136510049960381e-05,5.32917988311133e-05,2.136510049960397e-05
-0.27399999999999997,5.4234353618091605e-05,2.1742978112892888e-05,5.4234353618091904e-05,2.174297811289301e-05
-0.27199999999999996,5.51896899999879e-05,2.212597996792177e-05,5.518968999998811e-05,2.2125979967921856e-05
-0.26999999999999996,5.615784704911017e-05,2.251412172908561e-05,5.61578470491107e-05,2.251412172908582e-05
-0.26799999999999996,5.713885896812112e-05,2.2907417108500377e-05,5.713885896812156e-05,2.2907417108500557e-05
-0.26599999999999996,5.813275491754742e-05,2.3305877796850135e-05,5.813275491754775e-05,2.3305877796850267e-05
-0.26399999999999996,5.91395588419722e-05,2.3709513393706226e-05,5.913955884197243e-05,2.370951339370632e-05
-0.26199999999999996,6.0159289295062425e-05,2.4118331337379383e-05,6.0159289295063014e-05,2.411833133737962e-05
-0.25999999999999995,6.119195926359075e-05,2.4532336834368718e-05,6.119195926359124e-05,2.453233683436891e-05
-0.25799999999999995,6.223757599061925e-05,2.4951532788474667e-05,6.223757599061957e-05,2.4951532788474796e-05
-0.25599999999999995,6.329614079802004e-05,2.537591972964614e-05,6.329614079802028e-05,2.537591972964624e-05
-0.25399999999999995,6.436764890851669e-05,2.580549574263552e-05,6.436764890851727e-05,2.5805495742635752e-05
-0.25199999999999995,6.545208926743658e-05,2.6240256395537766e-05,6.545208926743707e-05,2.6240256395537962e-05
-0.24999999999999994,6.654944436437413e-05,2.668019466829383e-05,6.65494443643745e-05,2.6680194668293975e-05
-0.248,6.765969005497144e-05,2.7125300881241084e-05,6.765969005497168e-05,2.712530088124118e-05
-0.246,6.878279538303136e-05,2.7575562623797082e-05,6.878279538303148e-05,2.7575562623797133e-05
-0.244,6.99187224031855e-05,2.8030964683365766e-05,6.991872240318601e-05,2.8030964683365966e-05
-0.242,7.106742600434773e-05,2.849148897455857e-05,7.106742600434812e-05,2.8491488974558725e-05
-0.24,7.222885373419174e-05,2.8957114468826122e-05,7.222885373419202e-05,2.8957114468826237e-05
-0.238,7.340294562489719e-05,2.9427817124598495e-05,7.340294562489782e-05,2.9427817124598746e-05
